operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,243000000,255700000,-12700000,1480300,499900000,295300000,52,80.3,1600
regional,419800000,432300000,-12500000,4904500,1465000000,875200000,57,81.7,3400
necSpecialTrainsAdjustments,5000000,8600000,-3600000,0,3900000,0,0,0,0
nec,667800000,696500000,-28800000,6384800,1968800000,1170600000,55,81.4,5000
ethanAllenExpress,2400000,4900000,-2400000,35700,16800000,1900000,11,92.1,100
vermonter,6900000,7800000,-900000,60200,39200000,6700000,17,91.3,100
mapleLeaf,25000000,29700000,-4700000,275000,175300000,52200000,29,90.1,500
theDowneaster,13000000,14900000,-1900000,295300,115400000,25900000,22,76.5,400
newHavenSpringfield,0,15500000,26200000,-10700,240200000,72400000,13.6,21,90700
keystoneService,23100000,57900000,-34700000,567500,176900000,38200000,21,91.4,500
empireService,41400000,60200000,-18800000,731600,217200000,118700000,52,92.4,700
chicagoStLouis,28600000,30700000,-2000000,339400,173800000,64900000.00000001,39,79,600
hiawathas,15800000,18800000,-3000000,337600,62400000,27200000,37,91.9,300
wolverines,25700000,33299999.999999996,-7600000,258300,121500000,56900000,42,62.4,500
illini,14800000,11900000,3000000,172500,103700000,28200000,28,72.7,200
illinoisZephyr,13700000,12800000,800000,100100,54700000,16399999.999999998,29,84.6,300
heartlandFlyer,5400000,6200000,-800000,44900,20900000,8199999.999999999,37,65.1,100
pacificSurfliner,71600000,86500000,-14900000,1110100,483200000,110000000,21,81.5,1200
cascades,27700000,32500000,-4800000,269300,89400000,41900000,41,57.8,400
capitols,37400000,42700000,-5400000,474900,185000000,35600000,17,83,700
sanJoaquins,59300000,67700000,-8300000.000000001,508100,389200000,74200000,18,76.8,1000
adirondack,1400000,1500000,0,0,0,0,0,0,0
blueWater,10200000,12100000,-1900000,98700,56800000,19200000,32,63.8,200
washingtonLynchburg,7200000,8700000,-1500000,145700,58300000,20400000,34,61.2,100
washingtonNewportNews,0,8600000,12000000,-3500,158100000,58900000,19.7,28,71000
washingtonNorfolk,0,11000000,15400000,-4500,187100000,100700000,25.3,22,71000
washingtonRichmond,0,7300000,5500000,1800,57700000,29100000,4.9,15,71000
hoosierState,0,0,0,0,0,0,0,0,0
kansasCityStLouis,9400000,8000000,1400000,80700,43400000,15800000,38,25.6,200
pennsylvanian,11000000,15400000,-4500000,126400,57000000,26800000,45,66.7,200
gulfCoastLimited,0,0,0,0,0,0,0,0,0
pereMarquette,5400000,7600000,-2200000,58100,19600000,8900000,43,73.2,100
carolinian,14700000,16300000,-1500000,190200,92500000,40600000,42,77.6,300
piedmont,6200000,6700000,-500000,149400,44700000,17600000,37,68.7,300
nonNecSpecialTrainsAdjustments,900000,13700000,-12700000,0,3700000,0,0,0,100
stateSupported,520799999.99999994,667600000,-146800000,7072900,3061700000,920100000,28,80.9,9700
silverStar,38800000,82300000,-43600000,309200,276900000,152300000,52,37.4,800
cardinal,5900000,20100000,-14200000,59100,39600000,20800000,46,59.6,300
silverMeteor,11100000,22800000,-11700000,79200,76000000,41800000,51,0,300
empireBuilder,31500000,79900000,-48400000,204900,296000000,141100000,42,60.8,1200
capitolLimited,12800000,29800000,-17000000,119900,88200000,51600000,57,33.9,400
californiaZephyr,39300000,87400000,-48100000,215000,262899999.99999997,148900000,53,38.9,1200
southwestChief,28500000,73100000,-44600000,154300,237100000,135600000,54,39.1,1100
cityOfNewOrleans,10700000,29600000,-18900000,115700,103900000,46800000,39,78,400
texasEagle,16500000,40200000,-23700000,180700,134199999.99999999,88200000,60,62.8,700
sunsetLimited,8300000.000000001,39200000,-30900000,54100,115200000,40900000,34,30.9,400
coastStarlight,31900000,66599999.99999999,-34800000,247700,201500000,111000000,51,64.4,700
lakeShoreLimited,20700000,49400000,-28700000,213000,157300000,86400000,50,71.3,500
palmetto,18600000,31100000,-12500000,207900,114400000,48300000,39,69.2,400
crescent,20500000,48700000,-28200000,152500,142900000,63700000,43,43.7,600
autoTrain,92500000,73400000,19200000,213800,271700000,113000000,42,44,500
longDistanceAdjustments,100000,45400000,-45300000,0,0,0,0,0,0
longDistance,387600000,818800000,-431200000,2526900,2517900000,1290400000,48,54.3,9400
ancillary,278300000,272900000,5400000,0,3000000,,,
infrastructure,189000000,312000000,-123000000,6000,479072700000,,,
amtrak,2043400000,2767900000,-724500000,15984600,7548300000,3381000000,42,78,24100
