operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,25600000,23200000,2400000,163800,53100000,32799999.999999996,62,82.5,200
regional,49700000,42800000,6900000,610500,178000000,108500000,61,81.3,400
necSpecialTrainsAdjustments,300000,600000,-200000,0,300000,0,0,0,0
nec,75700000,66599999.99999999,9100000,774300,231400000,141300000,61,81.6,600
ethanAllenExpress,300000,400000,-100000,4200,1900000,200000,12,97.8,0
vermonter,900000,800000,100000,8300,4500000,1000000,21,81.7,0
mapleLeaf,2200000,2500000,-300000,30400,19800000,5800000,29,86.9,100
theDowneaster,1600000,1500000,100000,37400,13200000,3300000,25,79.2,0
newHavenSpringfield,0,2000000,2600000,-700,28100000,8700000,1.6,19,90400
keystoneService,3000000,4900000,-1900000,64300,18700000,4400000,23,92.4,100
empireService,5800000,6000000,-200000,93300,24800000,14200000,57,91.6,100
chicagoStLouis,3100000,2700000,400000,36600,18500000,6600000,36,78.3,100
hiawathas,1900000,1600000,300000,38600,7400000,3100000,42,90.9,0
wolverines,3000000,2800000,200000,27800,14600000,6000000,41,74.4,100
illini,1800000,1200000,700000,26400,17800000,4099999.9999999995,23,65.4,0
illinoisZephyr,1400000,1000000,400000,10700,6600000,1800000,27,85.9,0
heartlandFlyer,500000,600000,-100000,4500,2200000,800000,38,77.4,0
pacificSurfliner,7900000,8500000,-600000,103200,46600000,9600000,21,82.2,100
cascades,4099999.9999999995,3100000,1000000,26100,10200000,4099999.9999999995,40,59.7,100
capitols,4400000,4200000,200000,55000,21000000,4000000,19,82.6,100
sanJoaquins,6300000,6500000,-200000,51600,40500000,7400000,18,82.7,100
adirondack,0,200000,-100000,0,0,0,0,0,0
blueWater,1100000,1100000,100000,11300,7000000,2100000,30,82.2,0
washingtonLynchburg,800000,900000,-100000,16400,6500000,2400000,37,82.4,0
washingtonNewportNews,0,900000,1500000,-600,23900000,9200000,3,33,73600
washingtonNorfolk,0,1200000,1400000,-200,17700000,11200000,2.4,21,73600
washingtonRichmond,0,500000,400000,100,4000000,3200000,0.4,11,73600
hoosierState,0,0,0,0,0,0,0,0,0
kansasCityStLouis,1400000,1100000,200000,13600,7600000,2300000,30,58.6,0
pennsylvanian,1100000,1500000,-400000,15000,6500000,3000000,47,57.8,0
gulfCoastLimited,0,0,0,0,0,0,0,0,0
pereMarquette,600000,500000,100000,6100,2300000,900000,40,74.7,0
carolinian,1800000,1500000,300000,21700,12200000,4300000,35,72.8,0
piedmont,800000,600000,200000,18100,5600000,2100000,38,73,0
nonNecSpecialTrainsAdjustments,0,1000000,-1000000,0,300000,0,0,0,0
stateSupported,60100000,62500000,-2400000,794200,348700000,101000000,29,81.6,1100
silverStar,2200000,5800000,-3600000,21100,16500000,8900000,54,49.4,100
cardinal,700000,1800000,-1200000,8200,4600000,2600000,56,58.7,0
silverMeteor,2700000,5500000,-2800000,18800,17500000,9800000,56,49.8,100
empireBuilder,3500000,9200000,-5700000,22600,40700000,16399999.999999998,40,59,200
capitolLimited,1600000,3000000,-1400000,14300,10500000,6300000,60,36.3,0
californiaZephyr,4400000,9300000,-4900000,23900,34100000,19000000,56,42.4,200
southwestChief,3700000,7500000,-3800000,19000,31500000,16900000,54,39,100
cityOfNewOrleans,1000000,3200000,-2100000,11800,10400000,4400000,42,81.4,100
texasEagle,1700000,4000000,-2200000,20600,15700000,9500000,60,49.7,100
sunsetLimited,800000,3800000,-3100000,5000,13700000,3700000,27,31.7,100
coastStarlight,3000000,6800000,-3800000,24900,23200000,10700000,46,49.4,100
lakeShoreLimited,2400000,5100000,-2700000,26900,21100000,10900000,52,56.2,100
palmetto,1800000,2700000,-1000000,21600,12400000,4600000,38,73.2,100
crescent,2300000,5200000,-2900000,19300,19400000,7300000,37,70.4,100
autoTrain,8100000,7200000,900000,19300,30600000,16500000,54,18.1,100
longDistanceAdjustments,0,400000,-400000,0,0,0,0,0,0
longDistance,39900000,80700000,-40800000,277200,301800000,147500000,49,51.3,1200
ancillary,25400000,25700000,-300000,0,1000000,,,
infrastructure,21100000,26000000,-4800000,700,53069000000,,,
amtrak,222200000,261500000,-39300000,1845600,881800000,389800000,44,77,3000
